"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB0011698","SM(d18:1/26:0)","HMDB0011698","44260129","83361","C00550",NA,"[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCCCCCCCCCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0010470","TG(18:2(9Z,12Z)/14:0/18:2(9Z,12Z))","HMDB0010470","53480526","88890",NA,NA,"[H]C(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB0052427","TG(18:2(9Z,12Z)/16:0/18:3(6Z,9Z,12Z))","HMDB0052427","131763114",NA,NA,NA,"[H][C@](COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0013458","PC(O-42:3)","HMDB0013458","53481771","86451",NA,NA,"CCCCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0010423","TG(16:1(9Z)/16:0/18:1(11Z))","HMDB0010423","53480488",NA,NA,NA,"[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0013433","PC(O-40:1)","HMDB0013433","53481731",NA,NA,NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0012107","SM(d18:1/24:1)","HMDB0012107","44260126","74535","C00550",NA,"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC","1"
"HMDB0007993","PC(40:1)","HMDB0007993","24778745","86197","C00157",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC","1"
"HMDB0052515","TG(18:2(9Z,12Z)/14:1(9Z)/O-18:0)","HMDB0052515","131763193",NA,NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCC","1"
"HMDB0000187","Serine","HMDB0000187","5951","17115","C00065","5203","N[C@@H](CO)C(O)=O","1"
"HMDB0008092","PC(42:2)","HMDB0008092","53478755","89703","C00157",NA,"CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0007874","PC(32:2)","HMDB0007874","24778624","86094","C00157",NA,"[H][C@@](COC(=O)CCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0013222","Guanidinopropionic acid","HMDB0013222","67701","15968","C03065",NA,"NC(=N)NCCC(O)=O","1"
"HMDB0007889","PC(36:4)","HMDB0007889","52922238","89514","C00157",NA,"CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0000714","Hippuric acid","HMDB0000714","464","18089","C01586","1301","OC(=O)CNC(=O)C1=CC=CC=C1","1"
"HMDB0013409","PC(O-38:6)","HMDB0013409","16759366","86248",NA,NA,"CCCCCCCCCCCCCCCCOC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"HMDB0005360","TG(16:0_34:1)","HMDB0005360","25240460",NA,NA,"4705","[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0000658","CE(16:1)","HMDB0000658","22833543","84323","C02530","5629","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCCCC)[C@H](C)CCCC(C)C","1"
"HMDB0007881","PC(34:3)","HMDB0007881","53478605","89517","C00157",NA,"CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC","1"
"HMDB0061112","3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid","HMDB0061112","123979","41254",NA,NA,"CCCC1=C(C)C(C(O)=O)=C(CCC(O)=O)O1","1"
"HMDB0013408","PC(O-38:0)","HMDB0013408","24779301","86243",NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC","1"
"HMDB0008059","PC(42:1)","HMDB0008059","24778881","86219","C00157",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC","1"
"HMDB0049390","TG(18:1(11Z)/18:2(9Z,12Z)/20:3(5Z,8Z,11Z))","HMDB0049390","131760187",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0013413","PC(O-34:3)","HMDB0013413","53481709",NA,NA,NA,"CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0000011","3-Hydroxybutyric acid","HMDB0000011","441","17066","C01089",NA,"C[C@@H](O)CC(O)=O","1"
"HMDB0006731","CE(20:5)","HMDB0006731","53477889",NA,"C02530",NA,"CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C","1"
"HMDB0010434","TG(18:1(11Z)/14:0/18:1(11Z))","HMDB0010434","53480498","88995",NA,NA,"[H]C(COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB0000176","Maleic acid","HMDB0000176","444266","18300","C01384","4198","OC(=O)\C=C/C(O)=O","1"
"HMDB0054187","TG(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)/O-18:0)","HMDB0054187","131764795",NA,NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0000064","Creatine","HMDB0000064","586","16919","C00300","7","CN(CC(O)=O)C(N)=N","1"
"HMDB0042133","TG(14:0_36:3)","HMDB0042133","131753277",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0010436","TG(18:1(11Z)/14:0/18:2(9Z,12Z))","HMDB0010436","53480500",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB0007248","DG(18:2/18:2)","HMDB0007248","9543729","77127","C00165","4371","[H][C@](CO)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0013438","PC(O-42:2)","HMDB0013438","53481741","89864",NA,NA,"CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0008058","PC(42:0)","HMDB0008058","24778880","86212","C00157",NA,"[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC","1"
"HMDB0005363","TG(16:0_36:4)","HMDB0005363","9544125",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0052970","TG(18:3(6Z,9Z,12Z)/16:1(9Z)/O-18:0)","HMDB0052970","131763621",NA,NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"HMDB0005380","TG(16:0_36:5)","HMDB0005380","9544150",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"HMDB0008086","PC(40:3)","HMDB0008086","53478747","89699","C00157",NA,"CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0007869","PC(30:0)","HMDB0007869","129657","75062","C00157",NA,"[H][C@@](COC(=O)CCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0006736","CE(20:3)","HMDB0006736","53477892",NA,"C02530",NA,"CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CCC3C4CCC([C@H](C)CCCC(C)C)[C@@]4(C)CCC23)C1","1"
"HMDB0000197","Indoleacetic acid","HMDB0000197","802","16411","C00954","5211","OC(=O)CC1=CNC2=C1C=CC=C2","1"
"HMDB0052426","TG(18:2(9Z,12Z)/16:0/18:2(9Z,12Z))","HMDB0052426","15607290",NA,NA,NA,"[H]C(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0000243","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(O)=O","1"
"HMDB0052846","TG(18:3(6Z,9Z,12Z)/14:0/20:2n6)","HMDB0052846","131763497",NA,NA,NA,"[H][C@@](COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB0000535","Caproic acid","HMDB0000535","8892","30776","C01585","5520","CCCCCC(O)=O","1"
"HMDB0013437","PC(O-40:2)","HMDB0013437","53481739","89868",NA,NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0013423","PC(O-42:0)","HMDB0013423","53481717",NA,NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC","1"
"HMDB0002931","N-Acetylserine","HMDB0002931","65249","45441",NA,"308","CC(=O)N[C@@H](CO)C(O)=O","1"
"HMDB0042081","TG(14:0_36:2)","HMDB0042081","131753227",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB0049092","TG(18:1(11Z)/14:0/O-18:0)","HMDB0049092","131759901",NA,NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB0007921","PC(36:3)","HMDB0007921","52922294",NA,"C00157",NA,"CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0013406","PC(O-36:0)","HMDB0013406","24779297","86240",NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC","1"
"HMDB0013418","PC(O-36:2)","HMDB0013418","6443070","89895",NA,NA,"CCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0010395","LysoPC(20:4/0:0)","HMDB0010395","24779476","74344","C04230",NA,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0008688","PC(40:2)","HMDB0008688","53479339",NA,"C00157",NA,"CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0044682","TG(18:0_34:2)","HMDB0044682","131755727",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB0001987","2-Hydroxy-2-methylbutyric acid","HMDB0001987","95433","68454",NA,"6416","CCC(C)(O)C(O)=O","1"
"HMDB0000070","Pipecolic acid","HMDB0000070","849","17964","C00408","50","OC(=O)C1CCCCN1","1"
"HMDB0008055","PC(40:5)","HMDB0008055","24778871","73865","C00157",NA,"CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0052450","TG(18:2(9Z,12Z)/18:0/18:4(6Z,9Z,12Z,15Z))","HMDB0052450","131763130",NA,NA,NA,"[H][C@](COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0049397","TG(18:1(11Z)/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0049397","131760194",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0048487","TG(16:1(9Z)/18:0/18:3(6Z,9Z,12Z))","HMDB0048487","131759317",NA,NA,NA,"[H][C@](COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0000292","Xanthine","HMDB0000292","1188","17712","C00385","82","O=C1NC2=C(NC=N2)C(=O)N1","1"
"HMDB0048495","TG(16:1(9Z)/18:0/18:4(6Z,9Z,12Z,15Z))","HMDB0048495","131759324",NA,NA,NA,"[H][C@](COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0000267","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"HMDB0052530","TG(18:2(9Z,12Z)/16:1(9Z)/O-18:0)","HMDB0052530","131763207",NA,NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"HMDB0000562","Creatinine","HMDB0000562","588","16737","C00791","8","CN1CC(=O)NC1=N","1"
"HMDB0010439","TG(18:1(11Z)/16:0/18:2(9Z,12Z))","HMDB0010439","53480503",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0005384","TG(16:0_36:3)","HMDB0005384","25240361",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"HMDB0000687","Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"HMDB0049121","TG(18:1(11Z)/16:0/18:3(6Z,9Z,12Z))","HMDB0049121","131759927",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0245856","3-Deoxyglucosone","HMDB0245856","15120156",NA,NA,NA,"OCC(O)C(O)CC(=O)C=O","1"
"HMDB0000754","3-Hydroxyisovaleric acid","HMDB0000754","69362","37084","C20827","5722","CC(C)(O)CC(O)=O","1"
"HMDB0000094","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"HMDB0005425","TG(16:1(9Z)/18:0/18:2(9Z,12Z))","HMDB0005425","9544087",NA,NA,NA,"[H][C@](COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0000097","Choline","HMDB0000097","305","15354","C00114","56","C[N+](C)(C)CCO","1"
"HMDB0004953","Cer(d18:1/24:1)","HMDB0004953","5283568","74450","C00195","7206","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC","1"
"HMDB0013444","PC(O-40:5)","HMDB0013444","53481743","89850",NA,NA,"CCCCCCCC\C=C/CCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0044107","TG(16:0_40:7)","HMDB0044107","131755186",NA,NA,NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCC\C=C/CCCCCC","1"
"HMDB0007890","PC(36:5)","HMDB0007890","53478611","89583","C00157",NA,"CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0052440","TG(18:2(9Z,12Z)/16:0/O-18:0)","HMDB0052440","131763122",NA,NA,NA,"[H][C@@](COCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0013463","Hydroxysphingomyeline C16:1","HMDB0013463","53481779","90007","C00550",NA,"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CC(O)CCCCC\C=C/CCCCCC","1"
"HMDB0000172","Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@H](N)C(O)=O","1"
"HMDB0000168","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"HMDB0004971","GlcCer(d18:1/16:0)","HMDB0004971","14035030","84716","C01190","7224","CCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0013469","Hydroxysphingomyeline C24:1","HMDB0013469","53481791","90006","C00550",NA,"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CC(O)CCCCCCCCCCC\C=C/CCCCCCCC","1"
